disasterNumber,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,state,declarationDate,disasterType,incidentType,title
1,0,1,1,1,GA,1953-05-02T00:00:00 -04:00,DR,Tornado,TORNADO
2,0,1,1,1,TX,1953-05-15T00:00:00 -04:00,DR,Tornado,TORNADO & HEAVY RAINFALL
3,0,1,1,1,LA,1953-05-29T00:00:00 -04:00,DR,Flood,FLOOD
4,0,1,1,1,MI,1953-06-02T00:00:00 -04:00,DR,Tornado,TORNADO
5,0,1,1,1,MT,1953-06-06T00:00:00 -04:00,DR,Flood,FLOODS
6,0,1,1,1,MI,1953-06-09T00:00:00 -04:00,DR,Tornado,TORNADO
7,0,1,1,1,MA,1953-06-11T00:00:00 -04:00,DR,Tornado,TORNADO
8,0,1,1,1,IA,1953-06-11T00:00:00 -04:00,DR,Flood,FLOOD
9,0,1,1,1,TX,1953-06-19T00:00:00 -04:00,DR,Flood,FLOOD
11,0,1,1,1,NH,1953-07-02T00:00:00 -04:00,DR,Fire,FOREST FIRE
12,0,1,1,1,FL,1953-10-22T00:00:00 -04:00,DR,Flood,FLOOD
13,0,1,1,1,AK,1953-10-30T00:00:00 -04:00,DR,Other,SEVERE HARDSHIP
14,0,1,1,1,MS,1953-12-06T00:00:00 -05:00,DR,Tornado,TORNADO
15,0,1,1,1,CA,1954-02-05T00:00:00 -05:00,DR,Flood,FLOOD & EROSION
16,0,1,1,1,GA,1954-03-17T00:00:00 -04:00,DR,Tornado,TORNADO
17,0,1,1,1,IA,1954-06-23T00:00:00 -04:00,DR,Flood,FLOOD
18,0,1,1,1,TX,1954-07-01T00:00:00 -04:00,DR,Flood,FLOOD
19,0,1,1,1,NV,1954-07-14T00:00:00 -04:00,DR,Earthquake,EARTHQUAKE
20,0,1,1,1,SD,1954-07-31T00:00:00 -04:00,DR,Flood,FLOOD
21,0,1,1,1,WV,1954-08-04T00:00:00 -04:00,DR,Flood,FLOOD
22,0,1,1,1,MA,1954-09-02T00:00:00 -04:00,DR,Hurricane,HURRICANES
23,0,1,1,1,RI,1954-09-02T00:00:00 -04:00,DR,Hurricane,HURRICANES
24,0,1,1,1,ME,1954-09-13T00:00:00 -04:00,DR,Hurricane,HURRICANES
25,0,1,1,1,CT,1954-09-17T00:00:00 -04:00,DR,Hurricane,HURRICANES
26,0,1,1,1,NY,1954-10-07T00:00:00 -04:00,DR,Hurricane,HURRICANES
27,0,1,1,1,NM,1954-10-13T00:00:00 -04:00,DR,Flood,FLOOD
28,0,1,1,1,NC,1954-10-17T00:00:00 -04:00,DR,Hurricane,HURRICANE
29,0,1,1,1,SC,1954-10-17T00:00:00 -04:00,DR,Hurricane,HURRICANE
30,0,1,1,1,IN,1954-10-26T00:00:00 -04:00,DR,Flood,FLOOD
31,0,1,1,1,AK,1954-11-10T00:00:00 -05:00,DR,Other,SEVERE HARDSHIP
32,0,1,1,1,HI,1955-04-01T00:00:00 -04:00,DR,Volcano,VOLCANO
33,0,1,1,1,CO,1955-05-25T00:00:00 -04:00,DR,Flood,FLOOD
34,0,1,1,1,KS,1955-05-27T00:00:00 -04:00,DR,Tornado,TORNADO
35,0,1,1,1,OK,1955-06-01T00:00:00 -04:00,DR,Flood,FLOOD & TORNADO
36,0,1,1,1,NV,1955-06-21T00:00:00 -04:00,DR,Flood,FLOOD
37,0,1,1,1,NC,1955-08-13T00:00:00 -04:00,DR,Hurricane,HURRICANES
